tag,replacement
_LAST_NAME_,
_URL_,
_EMAIL_,
_NUMBER_,
_TOWN_NAME_,
_STREET_ADDRESS_,
_MASKED_TEXT_,
_AUDIO_OMITTED_,
_CONTACT_CARD_OMITTED_,
_DOCUMENT_OMITTED_,
_GIF_OMITTED_,
_IMAGE_OMITTED_,
_MEDIA_OMITTED_,
_STICKER_OMITTED_,
_VIDEO_OMITTED_,
_MESSAGE_DELETED_,
_MISSED_GROUP_VIDEO_CALL_,
_MISSED_GROUP_VOICE_CALL_,
_MISSED_VIDEO_CALL_,
_MISSED_VOICE_CALL_,
__ADMIN_RIGHTS_MESSAGE__,
__CALL_STARTED_MESSAGE__,
__CONTACT_BLOCKED_MESSAGE__,
__CONTACT_UNBLOCKED_MESSAGE__,
__ENCRYPTION_MESSAGE__,
__GROUP_CREATION_MESSAGE__,
__GROUP_ICON_MODIFICATION_MESSAGE__,
__GROUP_INFO_MODIFICATION_MESSAGE__,
__GROUP_NAME_MODIFICATION_MESSAGE__,
__PHONE_NUMBER_MODIFICATION_MESSAGE__,
__SECURITY_CODE_MODIFICATION_MESSAGE__,
__USER_ADDITION_MESSAGE__,
