msg_id,context_groups
284366,0
284367,0
284368,0
284369,0
284370,0
284371,0
284372,0
284373,0
284374,0
284375,0
284376,0
284377,0
284378,0
284379,0
284380,0
284381,0
284382,0
284383,0
284384,0
284385,0
284386,0
284387,0
284388,0
284389,0
284390,0
284391,0
284392,0
284393,0
284394,0
284395,0
284396,0
284397,0
284398,0
284399,0
284400,0
284401,0
284402,0
284403,0
284405,0
284406,0
284407,0
284408,0
284409,0
284410,0
284411,0
284412,0
284413,0
284414,0
284415,0
284416,0
284417,0
284418,0
284419,0
284420,0
284421,0
284422,0
284423,0
284424,0
284425,0
284426,0
284427,0
284428,0
284429,0
284430,0
284431,0
284432,0
284433,0
284434,0
284435,0
284436,0
284437,0
284438,0
284439,0
284440,0
284441,0
284442,0
284443,0
284444,0
284445,0
284446,0
284447,0
284448,0
284449,0
284450,0
284451,0
284452,0
284453,0
284454,0
284455,0
284456,0
284457,0
284458,0
284459,0
284460,0
284461,0
284462,0
284463,0
284464,0
284465,0
284466,0
284467,0
284468,0
284469,0
284470,0
284471,0
284472,0
284473,0
284474,0
284475,0
284476,0
284477,0
284478,0
284479,0
284480,0
284481,0
284482,0
284484,0
284485,0
284486,0
284487,0
284488,0
284489,0
284490,0
284491,0
284492,0
284493,0
284494,0
284495,0
284496,0
284497,0
284498,0
284499,0
284500,0
284501,0
284502,0
284503,0
284504,0
284505,0
284506,0
284507,0
284508,0
284509,0
284510,0
284511,0
284512,0
284513,0
284514,0
284515,0
284516,0
284517,0
284518,0
284519,0
284520,0
284521,0
284522,0
284523,0
284524,0
284525,0
284526,0
284527,0
284528,0
284529,0
284530,0
284531,0
284533,0
284534,0
284535,0
284536,0
284537,0
284539,0
284540,0
284541,0
284542,0
284543,0
284544,0
284545,0
284546,0
284547,0
284548,0
284549,0
284550,0
284551,0
284552,0
284553,0
284554,0
284555,0
284556,0
284557,0
284558,0
284559,0
284560,0
284561,0
284562,0
284563,0
284564,0
284565,0
284566,0
284567,0
284568,0
284569,0
284570,0
284571,0
284572,0
284573,0
284574,0
284575,0
284576,0
284577,0
284578,0
284579,0
284580,0
284581,0
284582,0
284583,0
284584,0
284585,0
284586,0
284587,0
284588,0
284589,1
284590,1
284592,1
284593,1
284594,1
284595,1
284596,1
284597,1
284598,1
284599,1
284600,1
284601,1
284602,1
284603,1
284604,1
284605,1
284606,1
284607,1
284608,1
284609,1
284610,1
284611,1
284612,1
284613,1
284614,1
284615,1
284616,1
284617,1
284618,1
284619,1
284620,1
284621,1
284622,1
284623,1
284624,1
284625,1
284626,1
284627,1
284628,1
284629,1
284630,1
284631,1
284632,1
284633,1
284634,1
284635,1
284636,1
284637,1
284638,1
284639,1
284640,1
284641,1
284642,1
284643,1
284644,1
284645,1
284647,1
284648,1
284649,1
284650,1
284651,1
284652,1
284653,1
284654,1
284655,1
284656,1
284657,1
284659,1
284660,1
284661,1
284662,1
284663,1
284664,1
284665,1
284666,1
284667,1
284668,1
284669,1
284670,1
284671,1
284672,1
284673,1
284674,1
284675,1
284676,1
284677,1
284678,1
284679,1
284680,1
284681,1
284682,1
284683,1
284684,1
284685,1
284686,1
284687,1
284688,1
284689,1
284690,1
284691,1
284692,1
284693,1
284694,1
284695,1
284696,1
284697,1
284698,1
284699,1
284700,1
284701,1
284702,1
284703,1
284704,1
284705,1
284706,1
284707,1
284708,1
284709,1
284710,1
284711,1
284712,1
284713,1
284714,1
284715,1
284717,1
284718,1
284719,1
284720,1
284722,1
284723,1
284724,1
284725,1
284726,1
284727,1
284728,1
284729,1
284730,1
284731,1
284732,1
284733,1
284734,1
284735,1
284736,1
284737,1
284738,1
284739,1
284740,1
284741,1
284742,1
284743,1
284744,1
284745,1
284746,1
284747,1
284748,1
284749,1
284750,1
284751,1
284752,1
284753,1
284754,1
284755,1
284756,1
284757,1
284758,1
284759,1
284760,1
284761,1
284762,1
284764,1
284765,1
284766,1
284767,1
284768,1
284769,1
284770,1
284771,1
284772,1
284773,1
284774,1
284775,1
284776,1
284777,1
284778,1
284779,1
284780,1
284781,1
284782,1
284783,1
284784,1
284785,1
284786,1
284787,1
284788,1
284789,1
284790,1
284791,1
284792,1
284793,1
284794,1
284795,1
284796,1
284797,1
284798,1
284799,1
284800,1
284801,1
284802,1
284803,1
