msg_id,context_groups
477331,0
477332,0
477333,0
477334,0
477335,0
477336,0
477337,0
477338,0
477339,0
477340,0
477341,0
477342,0
477343,0
477344,0
477345,0
477346,0
477347,0
477348,0
477349,0
477350,0
477351,0
477352,0
477353,0
477354,0
477355,0
477356,0
477357,0
477358,0
477359,0
477360,0
477361,0
477362,0
477363,0
477364,0
477365,0
477367,0
477368,0
477369,0
477370,0
477371,0
477372,0
477373,0
477374,0
477375,0
477376,0
477377,0
477378,0
477379,0
477381,0
477382,0
477383,0
477384,0
477385,0
477386,0
477387,0
477388,0
477389,0
477390,0
477391,0
477392,0
477393,0
477394,0
477395,0
477396,0
477397,0
477398,0
477399,0
477400,0
477401,0
477402,0
477403,0
477404,0
477405,0
477406,0
477407,0
477408,0
477409,0
477410,0
477411,0
477412,0
477413,0
477414,0
477415,0
477416,0
477417,0
477418,0
477419,0
477420,0
477421,0
477422,0
477424,0
477425,0
477426,0
477427,0
477428,0
477429,0
477430,0
477431,0
477432,0
477433,0
477434,0
477435,0
477436,0
477437,0
477438,0
477439,0
477440,0
477441,0
477442,0
477443,0
477444,0
477445,0
477446,0
477447,0
477448,0
477449,0
477450,0
477451,0
477452,0
477453,0
477454,0
477455,0
477456,0
477457,0
477458,0
477459,0
477460,0
477461,0
477462,0
477463,0
477464,0
477465,0
477466,0
477467,0
477468,0
477469,0
477470,0
477471,0
477472,0
477473,0
477475,0
477476,0
477477,0
477478,0
477479,0
477480,0
477481,0
477482,0
477484,0
477485,0
477486,0
477487,0
477488,0
477489,0
477490,0
477491,0
477492,0
477493,0
477494,0
477496,0
477497,0
477498,0
477499,0
477500,0
477501,0
477502,0
477503,0
477504,0
477505,0
477507,0
477508,0
477509,0
477510,0
477511,0
477512,0
477513,0
477514,0
477515,0
477516,0
477517,0
477518,0
477519,0
477520,0
477521,0
477522,0
477523,0
477524,0
477525,0
477527,0
477528,0
477529,0
477530,0
477531,0
477532,0
477533,0
477534,0
477535,0
477536,0
477537,0
477538,0
477539,0
477540,0
477541,0
477542,0
477543,0
477544,0
477545,0
477546,0
477547,0
477548,0
477549,0
477550,0
477552,0
477553,0
477554,0
477555,0
477556,0
477557,0
477558,0
477560,0
477561,0
477562,0
477563,0
477564,0
477565,0
477566,0
477567,0
477568,0
477569,0
477570,0
477571,0
477572,0
477573,0
477574,0
477575,0
477576,0
477577,0
477578,0
477579,0
477580,0
477581,0
477582,0
477583,0
477584,0
477585,0
477586,0
477587,0
477588,0
477589,0
477590,0
477591,0
477592,0
477593,0
477594,0
477595,0
477596,0
477597,0
477598,0
477599,0
477600,0
477601,0
477602,0
477603,0
477604,0
477605,0
477606,0
477607,0
477608,0
477609,0
477610,0
477611,0
477612,0
477613,0
477614,0
477615,0
477616,0
477617,0
477618,0
477619,0
477620,0
477621,0
477622,0
477623,0
477624,0
477625,0
477626,0
477627,0
477628,0
477629,0
477630,0
477631,0
477633,0
477634,0
477635,0
477636,0
477637,0
477639,0
477640,0
477641,0
477642,0
477643,0
477644,0
477645,0
477646,0
477647,0
477648,0
477649,0
477650,0
477651,0
477652,0
477653,0
477654,0
477655,0
477656,0
477657,0
477658,0
477659,0
477660,0
477661,0
477663,0
477664,0
477665,0
477666,0
477667,0
477668,0
477669,0
477670,0
477671,0
477672,0
477673,0
477674,0
477675,0
477676,0
477677,1
477678,1
477679,1
477680,1
477681,1
477682,1
477683,1
477684,1
477685,1
477686,1
477687,1
477688,1
477689,1
477690,1
477691,1
477692,1
477693,1
477694,1
477695,1
477696,1
477697,1
477698,1
477699,1
477700,1
477701,1
477702,1
477703,1
477704,1
477705,1
477706,1
477707,1
477708,1
477709,1
477710,1
477711,1
477712,1
477713,1
477714,1
477715,1
477716,1
477717,1
477718,1
477719,1
477720,1
477721,1
477722,1
477723,1
477724,1
477725,1
477726,1
477727,1
477728,1
477729,1
477730,1
477731,1
477732,1
477733,1
477734,1
477735,1
477736,1
477737,1
477738,1
477739,1
477740,1
477741,1
477742,1
477743,1
477744,1
477745,1
477746,1
477747,1
477748,1
477749,1
477750,1
477751,1
477752,1
477753,1
477754,1
477755,1
477756,1
477757,1
477758,1
477759,1
477760,1
477761,1
477762,1
477763,1
477764,1
477765,1
477766,1
477767,1
477768,1
477769,1
477770,1
477771,1
477772,1
477773,1
477774,1
477775,1
477776,1
477777,1
477778,1
477779,1
477780,1
477781,1
477782,1
477783,1
477784,1
477785,1
477786,1
477787,1
477788,1
477789,1
477790,1
477791,1
477792,1
477793,1
477794,1
477795,1
477796,1
477797,1
477798,1
477800,1
477801,1
