msg_id,context_groups
266993,0
266994,0
266995,0
266996,0
266998,0
267000,0
267001,0
267002,0
267004,0
267005,0
267006,0
267007,0
267009,0
267010,0
267012,0
267014,0
267016,0
267017,0
267018,0
267019,0
267020,0
267021,0
267022,0
267023,0
267024,0
267025,0
267026,0
267027,0
267028,0
267029,0
267030,0
267031,0
267033,0
267034,0
267035,0
267036,0
267037,0
267038,0
267039,0
267040,0
267041,0
267042,0
267043,0
267044,0
267045,0
267046,0
267047,0
267048,0
267049,0
267050,0
267051,0
267052,0
267054,0
267055,0
267056,0
267057,0
267058,0
267059,0
267060,0
267061,0
267062,0
267063,0
267064,0
267065,0
267066,0
267067,0
267068,0
267069,0
267070,0
267071,0
267072,0
267073,0
267074,0
267075,0
267076,0
267077,0
267078,0
267079,0
267080,0
267081,0
267082,0
267083,0
267084,0
267085,0
267086,0
267087,0
267088,0
267089,0
267090,0
267091,0
267092,0
267093,0
267094,0
267095,0
267096,0
267097,0
267098,0
267099,0
267100,0
267101,0
267102,0
267103,0
267104,0
267105,0
267106,0
267107,0
267108,0
267109,0
267110,0
267111,0
267112,0
267113,0
267114,0
267115,0
267116,0
267117,0
267118,0
267119,0
267120,0
267121,0
267122,0
267123,0
267124,0
267125,0
267126,0
267127,0
267128,0
267129,0
267130,0
267131,0
267132,0
267133,0
267134,0
267135,0
267136,0
267137,0
267138,0
267139,0
267140,0
267142,0
267143,0
267144,0
267145,0
267146,0
267147,0
267148,0
267149,0
267151,0
267153,0
267154,0
267156,0
267157,0
267158,0
267159,1
267160,1
267161,1
267162,1
267163,1
267165,1
267166,1
267168,1
267169,1
267170,1
267171,1
267172,1
267173,1
267174,1
267175,1
267176,1
267177,1
267178,1
267179,1
267180,1
267181,1
267182,1
267183,1
267184,1
267185,1
267186,1
267187,1
267188,1
267189,1
267190,1
267191,1
267192,1
267193,1
267194,1
267195,1
267196,1
267197,1
267198,1
267199,1
267200,1
267201,1
267202,1
267203,1
267204,1
267205,1
267206,1
267207,1
267208,1
267209,1
267211,1
267213,1
267215,1
267216,1
267217,1
267218,1
267219,1
267220,1
267221,1
